species,maximum_length,diet,habitat,gregariousness,morphology
Alloclinus.holderi,10,MBI,B,PAIR,COMH
Anisotremus.davidsonii,58,MBI,PEL,PAIR,COML
Atherinops.sp,37,PK,PEL,SCHO,COMH
Brachyistius.frenatus,22,MBI,FRO,PAIR,COML
Chromis.punctipinnis,25,PK,ROV,PAIR,COML
Clinocottus.analis,18,MBI,B,SOL,COMH
Embiotoca.jacksoni,39,MBI,S-B,PAIR,COML
Embiotoca.lateralis,38,MBI,S-B,PAIR,COML
Girella.nigricans,66,H,ROV,PAIR,COML
Gymnothorax.mordax,152,MC,B,SOL,EEL
Haemulon.californiensis,30,PK,PEL,SCHO,COML
Halichoeres.semicinctus,38,MBI,ROV,PAIR,COMH
Heterostichus.rostratus,61,MBI,FRO,SOL,COMH
Hyperprosopon.anale,20,PK,ROV,PAIR,COML
Hypsurus.caryi,30,MBI,ROV,PAIR,COML
Hypsypops.rubicundus,30,MBI,S-B,SOL,COML
Leiocottus.hirundo,25,MBI,B,SOL,COMH
Lythrypnus.dalli,6.4,MBI,B,PAIR,COMH
Lythrypnus.zebra,5.7,MBI,B,PAIR,COMH
Medialuna.californiensis,48,H,ROV,PAIR,COML
Ophiodon.elongatus,152,MC,B,SOL,COMH
Oxyjulis.californica,25,I/PK,ROV,SOL,COMH
Oxylebius.pictus,25,MBI,S-B,SOL,COMH
Paralabrax.clathratus,72,MC,ROV,SOL,COMH
Paralabrax.nebulifer,67,MC,S-B,SOL,COMH
Phanerodon.furcatus,32,MBI,ROV,PAIR,COML
Rhacochilus.toxotes,47,MBI,ROV,PAIR,COML
Rhacochilus.vacca,44.2,MBI,ROV,PAIR,COML
Rhinogobiops.nicholsii,15,I/PK,B,PAIR,COMH
Scorpaena.guttata,43,MBI,ROV,SOL,COMH
Sebastes.atrovirens,42,MBI,S-B,PAIR,COML
Sebastes.auriculatus,56,MC,S-B,SOL,COML
Sebastes.carnatus,39,MC,S-B,SOL,COML
Sebastes.chrysomelas,39,MC,S-B,SOL,COML
Sebastes.melanops,63,MC,S-B,PAIR,COML
Sebastes.miniatus,91,MC,S-B,SOL,COML
Sebastes.serriceps,51,MC,S-B,SOL,COML
Semicossyphus.pulcher,91,MBI,S-B,SOL,COML
Urolophus.halleri,58,MC,B,SOL,RAY
Zapteryx.exasperata,83,MC,B,SOL,RAY
