"","sp_richn","fric","feve","fdiv"
"CK_K_1",6,0.210639440990017,0.465275,0.94929353424979
"CK_K_2",8,0.475521675994521,0.733752,0.96049493781539
"CK_K_3",6,0.217381112384775,0.805936,0.89604584262599
"CK_K_4",8,0.295183938069475,0.398488,0.921484786277474
"CK_K_5",11,0.406438593698568,0.64827,0.858031189143588
"CK_K_6",11,0.462439077766432,0.683945,0.811189037732955
"CK_K_7",10,0.306371168423162,0.543961,0.65926606997818
"CK_K_8",10,0.421755140791973,0.626626,0.849046942167435
"CK_K_9",8,0.331410266255494,0.389486,0.890764731708209
"LB_K_1",9,0.230484521389333,0.464543,0.834570536211247
"LB_K_2",6,0.219452213527214,0.492747,0.986025552000348
"LB_K_3",8,0.230365905651888,0.510207,0.797293663993151
"LB_K_4",12,0.437169629519373,0.567893,0.968948398833184
"LB_K_5",9,0.482444956790048,0.656245,0.966642506241599
"LB_K_6",8,0.305866518034289,0.675314,0.942489412160508
"LB_K_7",15,0.479177958887621,0.589555,0.829108569059898
"LB_K_8",10,0.310645697487109,0.581682,0.76062489492816
"LB_K_9",10,0.570091570819146,0.515107,0.764268801392013
"LR_K_1",7,0.145427899334534,0.678636,0.906045537152441
"LR_K_3",10,0.37913306282067,0.61949,0.943953776952104
"LR_K_4",4,0.0778188974207348,0.628728,0.819542033053941
"LR_K_5",6,0.146999186259088,0.662894,0.992499338461294
"LR_K_6",12,0.538506906448838,0.767436,0.87966351694532
"LR_K_7",9,0.303471428602188,0.636332,0.965490538858077
"LR_K_8",11,0.191230701145492,0.473133,0.849479195322733
"LR_K_9",11,0.354796528615047,0.608522,0.941311254126912
"RB_K_1",8,0.327428055126025,0.757988,0.959456074047201
"RB_K_2",9,0.458153600633026,0.588075,0.780576369999155
"RB_K_3",13,0.5814819990237,0.279271,0.964830186382332
"RB_K_4",9,0.47747231619679,0.286837,0.986210413945619
"RB_K_5",9,0.480794820631623,0.617875,0.818094705025773
"RB_K_6",7,0.319566912597069,0.572231,0.827353436953562
"RB_K_7",13,0.566353806812366,0.382545,0.980908191519103
"RB_K_8",10,0.500733601434743,0.479691,0.90580515506752
"RB_K_9",11,0.530927997140908,0.363632,0.974896383940199
