"","sp_richn","fric","feve","fdiv"
"CK_1_K",10,0.308746611932773,0.576819,0.912133812882896
"CK_2_K",16,0.367422152460439,0.541392,0.817581786236902
"CK_3_K",13,0.281895007464476,0.264312,0.78901254392395
"LB_1_K",9,0.0415680542138914,0.42645,0.85358789823094
"LB_2_K",14,0.484278914099349,0.345077,0.924423126452193
"LB_3_K",18,0.510748844276922,0.541442,0.776195471492608
"LB_1_R",12,0.395940898291791,0.393716,0.906620128731891
"LB_2_R",10,0.0998739165360771,0.39167,0.922837834037642
"LB_3_R",15,0.405201046886235,0.262289,0.790110745347955
"LR_1_K",11,0.142120351769248,0.572032,0.90735817550698
"LR_2_K",14,0.303198288688991,0.667995,0.889027356950339
"LR_3_K",14,0.157928348410955,0.618297,0.83711806636447
"PM_1_R",13,0.34968289668391,0.373403,0.776964446601325
"PM_2_R",16,0.476757640583414,0.341809,0.724973209296736
"PM_3_R",9,0.0925469887330743,0.332083,0.726759951919351
"RB_1_K",16,0.548650940790653,0.051496,0.873207136637389
"RB_2_K",12,0.30351301868864,0.153396,0.896574318506551
"RB_3_K",15,0.40345176703155,0.402142,0.954857259719139
"RB_1_R",14,0.506200084701833,0.275133,0.864019430319982
"RB_2_R",10,0.218830619572233,0.354851,0.73766701559195
"RB_3_R",13,0.270892497340146,0.368348,0.812933466114463
"Z_1_R",16,0.253522567816536,0.37299,0.682096606803539
"Z_2_R",12,0.274876125767217,0.657397,0.920030798727926
"Z_3_R",13,0.28000308086503,0.369472,0.736872492178991
