Site,Alloclinus.holderi,Anisotremus.davidsonii,Atherinops.sp,Chromis.punctipinnis,Clinocottus.analis,Embiotoca.jacksoni,Embiotoca.lateralis,Girella.nigricans,Gymnothorax.mordax,Halichoeres.semicinctus,Hypsurus.caryi,Hypsypops.rubicundus,Lythrypnus.dalli,Lythrypnus.zebra,Medialuna.californiensis,Ophiodon.elongatus,Oxyjulis.californica,Oxylebius.pictus,Paralabrax.clathratus,Paralabrax.nebulifer,Rhacochilus.vacca,Rhinogobiops.nicholsii,Scorpaena.guttata,Sebastes.atrovirens,Sebastes.auriculatus,Sebastes.carnatus,Sebastes.chrysomelas,Sebastes.serriceps,Semicossyphus.pulcher
LB_R_1,0,0,0,508.4805851,0,0,0,0,0,0,45.09657251,0,0,0,0,693.0463319,0,73.45498467,76.42972968,0,0,0,0,149.5075993,0,290.2163247,0,0,21.28412484
LB_R_2,0,0,0,34.03460063,0,0,55.50455067,0,0,0,45.09657251,0,0,0,0,3636.324478,3.062034519,27.3137071,20.71654612,0,0,58.96420176,0,392.4967371,0,0,0,0,21.14102606
LB_R_3,0,0,0,26.09319382,0,0,0,0,0,0,0,0,0,0,0,0,0.079403409,0,25.72744569,0,457.5640191,16.13197237,0,448.8703657,0,0,0,0,1026.122752
LB_R_4,0,0,0,0,0,891.2964592,55.50455067,0,0,0,0,0,0,0,0,445.0159194,0,81.9411213,0,0,0,58.96420176,0,474.6417199,0,27.52661276,0,0,98.95207585
LB_R_5,13.25624347,0,0,0,0,0,0,0,0,0,45.09657251,0,0,0,0,2614.602522,0,128.0823989,0,0,0,264.1041254,0,27.52661276,0,0,0,0,711.2215995
LB_R_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307.648853,0,0,0,0,0,329.9927127,0,0,0,290.2163247,0,0,21.14102606
LB_R_7,0,0,0,1246.267476,0,1413.61583,361.4754703,0,0,0,175.9963741,0,0,0,0,0,18.37220711,54.6274142,0,0,0,5.377324124,0,1104.056815,0,290.2163247,158.654041,0,3470.6676
LB_R_8,0,0,0,590.340373,0,573.1698118,0,0,0,0,10.40797816,0,0,0,0,693.0463319,0,0.181857193,0,0,3660.512153,305.8879359,0,1559.579538,0,158.654041,0,770.8171111,474.7111524
LB_R_9,0,0,0,126.8072552,0,184.4885444,0,0,0,0,210.6849685,0,0,0,0,0,0,220.364954,55.71318356,0,0,83.06897851,0,0,0,0,0,0,0
PM_R_1,0,0,0,0,0,0,0,0,0,286.5805663,240.9836469,1040.991638,0,0,0,0,386.8186607,79.69788523,187.8560968,55.71318356,0,0,0,0,0,0,0,0,0
PM_R_2,0,0,0,1894.511704,0,1164.724916,1083.278329,0,0,475.3603288,0,8404.981358,0,0,2136.381796,0,78.14355861,73.45498467,448.2005155,0,0,24.10477675,0,0,0,0,0,0,592.9074495
PM_R_3,0,0,0,1432.692524,0,0,0,0,0,734.0632422,0,6206.486642,0,0,0,0,113.2952772,73.45498467,2047.074173,1953.217742,0,0,0,0,0,0,0,0,2302.486864
PM_R_4,0,0,0,72.64008358,0,0,457.5640191,0,0,0,0,390.8682663,0,0,0,0,0,54.6274142,448.2005155,426.8939216,0,0,0,0,0,0,0,0,782.5797046
PM_R_5,0,1332.89247,0,1147.661117,0,2375.466909,0,0,0,859.7416989,0,4788.119214,0,0,0,0,64.3027249,73.45498467,346.1799218,407.4452288,0,0,0,0,0,0,0,0,4.855571623
PM_R_6,0,2665.784941,0,310.5135181,0,368.9770888,0,1647.31534,0,729.5197188,120.4918234,2532.101725,0,0,0,0,20.18744702,0,655.697066,351.7320452,0,24.10477675,1380.289718,0,74.75379967,0,0,0,624.3664001
PM_R_7,13.25624347,0,0,0,0,0,0,0,0,100.4658837,538.6914626,1053.364685,0,0,0,0,3.062034519,0,269.1601443,0,0,0,0,0,0,0,0,0,21.14102606
PM_R_8,0,0,0,0,0,0,0,0,0,73.49187297,165.588396,682.236649,0,0,0,0,14.06337798,27.3137071,0,55.71318356,0,0,0,0,0,0,0,0,56.67002373
PM_R_9,0,0,0,0,0,0,0,0,0,0,956.8911017,476.4652048,0,0,0,0,0,0,111.4263671,0,0,0,0,0,0,0,0,0,25.99659768
RB_R_1,0,0,14258.41022,3717.316121,0,0,0,1428.148958,0.01626813,1278.371921,0,4286.905984,0,0,463.7407223,0,0,0,1588.281309,4711.695136,0,24.10477675,0,0,0,0,0,0,1555.94297
RB_R_2,0,0,0,1243.638752,0,0,0,0,0,313.554577,0,2208.841575,0.549388727,0,1072.466987,0,0,0,876.9523382,3276.274895,0,119.4754649,0,0,0,0,0,0,1488.211147
