Site,Alloclinus.holderi,Anisotremus.davidsonii,Atherinops.sp,Brachyistius.frenatus,Chromis.punctipinnis,Clinocottus.analis,Embiotoca.jacksoni,Embiotoca.lateralis,Girella.nigricans,Gymnothorax.mordax,Haemulon.californiensis,Halichoeres.semicinctus,Heterostichus.rostratus,Hyperprosopon.anale,Hypsurus.caryi,Hypsypops.rubicundus,Leiocottus.hirundo,Lythrypnus.dalli,Lythrypnus.zebra,Medialuna.californiensis,Ophiodon.elongatus,Oxyjulis.californica,Oxylebius.pictus,Paralabrax.clathratus,Paralabrax.nebulifer,Phanerodon.furcatus,Rhacochilus.toxotes,Rhacochilus.vacca,Rhinogobiops.nicholsii,Scorpaena.guttata,Sebastes.atrovirens,Sebastes.auriculatus,Sebastes.carnatus,Sebastes.chrysomelas,Sebastes.melanops,Sebastes.miniatus,Sebastes.serriceps,Semicossyphus.pulcher,Urolophus.halleri,Zapteryx.exasperata
CK_K_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.1931,0,0,0,0,0,0,236.1253,0,723.7618,0,0,0,90.1931,29.4821,0,0,0,0,0,0,0,0,42.2821,0,0
CK_K_2,0,0,0,0,900.737,0,0,0,0,0,0,0,0,0,20.816,0,0,0,0,0,0,332.4296,81.9411,483.6832,0,0,0,0,53.5869,0,0,0,0,0,0,158.654,0,288.3717,0,0
CK_K_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.8987,0,0,0,0,0,0,494.1341,0,422.6097,0,0,0,0,29.4821,0,831.7858,0,0,0,0,0,0,98.9521,0,0
CK_K_4,2.9572,0,0,0,0,0,0,252.6112,0,0,0,0,0,0,406.1795,0,0,0,0,0,0,1013.0963,27.3137,586.9165,0,0,0,300.8781,0,0,0,0,0,0,0,0,0,217.1477,0,0
CK_K_5,0,0,0,0,239.7123,0,253.0893,0,0,0,0,0,0,0,190.7943,0,60.1224,0,0,0,0,788.7504,81.9411,554.7526,0,0,0,406.572,77.6917,0,466.8157,0,0,0,0,0,0,528.3039,0,0
CK_K_6,0,0,0,7.4876,755.4569,0,388.6813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701.3019,128.2643,401.8931,0,0,0,0,160.7606,0,2039.7019,290.2163,0,0,0,655.1864,0,487.0146,0,0
CK_K_7,0,0,0,0,784.5129,0,1095.4892,1209.0947,0,0,0,0,0,0,0,0,0,0,0,0,0,1266.427,0,20.7165,0,0,2822.2617,10260.6908,71.4137,0,739.0867,0,0,0,0,0,0,1388.4198,0,0
CK_K_8,0,0,0,0,453.994,0,0,0,0,0,0,0,0,0,255.7815,0,0,0,0,0,0,745.7565,115.4977,76.5677,0,0,1209.0947,436.1678,96.4191,0,0,0,290.2163,0,0,0,0,275.7152,0,0
CK_K_9,0,0,0,0,563.4095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.1644,27.3137,187.994,0,0,751.5307,2710.6036,72.3143,0,0,0,0,0,0,0,0,3342.3173,0,0
LB_K_1,0,0,0,0,0,0,184.4885,120.4918,0,0,0,0,0,0,1761.7046,0,0,0,0,0,0,129.6339,27.3137,255.9561,0,0,0,45.0966,0,0,290.2163,0,0,0,0,0,0,450.8147,0,0
LB_K_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5046,0,0,0,0,0,0,169.6124,27.3137,1655.1948,0,0,0,0,0,0,0.1744,0,0,0,0,0,0,331.3925,0,0
