Code,Site,Habitat,HabitatID,Transect,Replicate
CK_K_1,CK,Kelp,K,1,1
CK_K_2,CK,Kelp,K,2,1
CK_K_3,CK,Kelp,K,3,1
CK_K_4,CK,Kelp,K,4,2
CK_K_5,CK,Kelp,K,5,2
CK_K_6,CK,Kelp,K,6,2
CK_K_7,CK,Kelp,K,7,3
CK_K_8,CK,Kelp,K,8,3
CK_K_9,CK,Kelp,K,9,3
LB_K_1,LB,Kelp,K,1,1
LB_K_2,LB,Kelp,K,2,1
LB_K_3,LB,Kelp,K,3,1
LB_K_4,LB,Kelp,K,4,2
LB_K_5,LB,Kelp,K,5,2
LB_K_6,LB,Kelp,K,6,2
LB_K_7,LB,Kelp,K,7,3
LB_K_8,LB,Kelp,K,8,3
LB_K_9,LB,Kelp,K,9,3
LR_K_1,LR,Kelp,K,1,1
LR_K_2,LR,Kelp,K,2,1
LR_K_3,LR,Kelp,K,3,1
LR_K_4,LR,Kelp,K,4,2
LR_K_5,LR,Kelp,K,5,2
LR_K_6,LR,Kelp,K,6,2
LR_K_7,LR,Kelp,K,7,3
LR_K_8,LR,Kelp,K,8,3
LR_K_9,LR,Kelp,K,9,3
RB_K_1,RB,Kelp,K,1,1
RB_K_2,RB,Kelp,K,2,1
RB_K_3,RB,Kelp,K,3,1
RB_K_4,RB,Kelp,K,4,2
RB_K_5,RB,Kelp,K,5,2
RB_K_6,RB,Kelp,K,6,2
RB_K_7,RB,Kelp,K,7,3
RB_K_8,RB,Kelp,K,8,3
RB_K_9,RB,Kelp,K,9,3
LB_R_1,LB,Rocky,R,1,1
LB_R_2,LB,Rocky,R,2,1
LB_R_3,LB,Rocky,R,3,1
LB_R_4,LB,Rocky,R,4,2
LB_R_5,LB,Rocky,R,5,2
LB_R_6,LB,Rocky,R,6,2
LB_R_7,LB,Rocky,R,7,3
LB_R_8,LB,Rocky,R,8,3
LB_R_9,LB,Rocky,R,9,3
PM_R_1,PM,Rocky,R,1,1
PM_R_2,PM,Rocky,R,2,1
PM_R_3,PM,Rocky,R,3,1
PM_R_4,PM,Rocky,R,4,2
PM_R_5,PM,Rocky,R,5,2
PM_R_6,PM,Rocky,R,6,2
PM_R_7,PM,Rocky,R,7,3
PM_R_8,PM,Rocky,R,8,3
PM_R_9,PM,Rocky,R,9,3
RB_R_1,RB,Rocky,R,1,1
RB_R_2,RB,Rocky,R,2,1
RB_R_3,RB,Rocky,R,3,1
RB_R_4,RB,Rocky,R,4,2
RB_R_5,RB,Rocky,R,5,2
RB_R_6,RB,Rocky,R,6,2
RB_R_7,RB,Rocky,R,7,3
RB_R_8,RB,Rocky,R,8,3
RB_R_9,RB,Rocky,R,9,3
Z_R_1,Z,Rocky,R,1,1
Z_R_2,Z,Rocky,R,2,1
Z_R_3,Z,Rocky,R,3,1
Z_R_4,Z,Rocky,R,4,2
Z_R_5,Z,Rocky,R,5,2
Z_R_6,Z,Rocky,R,6,2
Z_R_7,Z,Rocky,R,7,3
Z_R_8,Z,Rocky,R,8,3
Z_R_9,Z,Rocky,R,9,3
