Code,Site,Habitat,HabitatID,Replicate
CK_1_K,CK,Kelp,K,1
CK_2_K,CK,Kelp,K,2
CK_3_K,CK,Kelp,K,3
LB_1_K,LB,Kelp,K,1
LB_2_K,LB,Kelp,K,2
LB_3_K,LB,Kelp,K,3
LB_1_R,LB,Rocky,R,1
LB_2_R,LB,Rocky,R,2
LB_3_R,LB,Rocky,R,3
LR_1_K,LR,Kelp,K,1
LR_2_K,LR,Kelp,K,2
LR_3_K,LR,Kelp,K,3
PM_1_R,PM,Rocky,R,1
PM_2_R,PM,Rocky,R,2
PM_3_R,PM,Rocky,R,3
RB_1_K,RB,Kelp,K,1
RB_2_K,RB,Kelp,K,2
RB_3_K,RB,Kelp,K,3
RB_1_R,RB,Rocky,R,1
RB_2_R,RB,Rocky,R,2
RB_3_R,RB,Rocky,R,3
Z_1_R,Z,Rocky,R,1
Z_2_R,Z,Rocky,R,2
Z_3_R,Z,Rocky,R,3
